TranslatedRecipeName,TranslatedIngredients,TotalTimeInMins,Cuisine,Cleaned-Ingredients,Ingredient-count,Canonical_Name,Name_Aliases,Cleaned_RecipeName
Masala Karela Recipe,"1 tablespoon Red Chilli powder,3 tablespoon Gram flour (besan),2 teaspoons Cumin seeds (Jeera),1 tablespoon Coriander Powder (Dhania),2 teaspoons Turmeric powder (Haldi),Salt - to taste,1 tablespoon Amchur (Dry Mango Powder),6 Karela (Bitter Gourd/ Pavakkai) - deseeded,Sunflower Oil - as required,1 Onion - thinly sliced",45,Indian,"salt,amchur,karela,red chilli powder,gram flour,onion,cumin seeds,coriander powder,turmeric powder,sunflower oil",10,masala karela,[],masala karela
Spicy Tomato Rice (Recipe)," 2 teaspoon cashew - or peanuts, 1/2 Teaspoon mustard, 1 dry red chilli, 1 teaspoon white urad dal, 1 teaspoon chickpea lentils, salt - as per taste, 1 green chilli, 1-1 / 2 tablespoon oil - 1/2 teaspoon asafoetida, 1/2 teaspoon cumin seeds, 3 teaspoons BC Belle Bhat powder,2-1 / 2 cups rice - cooked, 3 tomatoes",15,South Indian Recipes,"tomato,salt,chickpea lentils,green chilli,rice,mustard,bc belle bhat powder,dry red chilli,cashew peanuts,oilasafoetida,cumin seeds,white urad dal",12,spicy tomato rice,[],spicy tomato rice
Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,"1 Onion - sliced,1 teaspoon White Urad Dal (Split),2 Green Chillies,Salt - to taste,1 teaspoon Lemon juice,1 teaspoon Ghee,1 teaspoon Mustard seeds,1/3 cup Green peas (Matar),1/4 teaspoon Asafoetida (hing),1/2 cup Carrots (Gajjar) - chopped,1 sprig Curry leaves,1-1/2 cups Rice Vermicelli Noodles (Thin)",50,South Indian Recipes,"salt,rice vermicelli noodles,asafoetida,mustard seeds,ghee,green peas,carrot,curry leaves,white urad dal,onion,lemon,green chillies",12,ragi semiya upma,['ragi millet vermicelli breakfast'],"ragi semiya upma, ragi millet vermicelli breakfast"
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander (Dhania) Seeds,4 Dry Red Chillies,1 teaspoon Sesame (Gingelly) Oil,4 cloves Garlic,1 teaspoon Garam masala powder,Salt - to taste,2 tablespoon Sesame (Gingelly) Oil,4 Green Chillies - slit,500 grams Chicken,6 cloves Garlic - finely chopped,1 teaspoon Fennel seeds (Saunf),2 Onion - chopped,2 cups Sorrel Leaves (Gongura) - picked and chopped,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 inch Ginger - finely chopped,1 Tomato - chopped",45,Andhra,"tomato,salt,ginger,sorrel leaves,fennel seeds,sesame oil,cloves garlic,coriander seeds,onion,chicken,methi seeds,dry red chillies,turmeric powder,green chillies,garam masala powder",15,gongura chicken curry,['andhra style gongura chicken'],"gongura chicken curry, andhra style gongura chicken"
Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe)," oil - as per use, 1 tablespoon coriander seeds, 1 Teaspoon mustard, 3 inches ginger - chop, 1 tomato - chop, asafoetida - a pinch,1 tablespoon chana dal, 2 red chillies, salt - as per taste, 1 sprig curry, 1 tablespoon white urad dal, 1 onion - chop",30,Andhra,"tomato,salt,ginger,red chillies,curry,asafoetida,mustard,chana dal,onion,oil,coriander seeds,white urad dal",12,andhra style alam pachadi,['adrak chutney'],"andhra style alam pachadi, adrak chutney"
Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),"1 cup Rice - soaked for 20 minutes,1 Green Chilli,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1 cup Mint Leaves (Pudina) - tightly packed,5 cups Water,8 Cashew nuts - halved,1 inch Ginger,1/4 cup Coriander (Dhania) Leaves - tightly packed,1/2 cup Yellow Moong Dal (Split) - soaked for 20 minutes,2 tablespoons Ghee,1 teaspoon Sunflower Oil,1 sprig Curry leaves,1 pinch Asafoetida (hing),1 teaspoon Whole Black Peppercorns",30,South Indian Recipes,"cashew nuts,salt,yellow moong dal,ginger,green chilli,rice,coriander leaves,ghee,asafoetida,water,black peppercorns,curry leaves,cumin seeds,mint leaves,sunflower oil",15,pudina khara pongal,[],pudina khara pongal
Udupi Style Ash Gourd Coconut Curry Recipe,"4 Dry Red Chillies,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1 Dry Red Chillies,Sunflower Oil - for cooking,Salt - to taste,30 grams Tamarind Water,1 cup Tamarind Water,1/2 cup Fresh coconut - grated,2 sprig Curry leaves - roughly torn,500 grams Vellai Poosanikai (Ash gourd/White Pumpkin),1/2 teaspoon Methi Seeds (Fenugreek Seeds),2 teaspoons Sesame seeds (Til seeds),1 teaspoon Sunflower Oil,3 tablespoons Jaggery,2 teaspoons Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera)",40,Udupi,"salt,tamarind water,coconut,mustard seeds,jaggery,vellai poosanikai,curry leaves,dry red chillies,coriander seeds,methi seeds,cumin seeds,turmeric powder,sesame seeds,sunflower oil",14,udupi style ash gourd coconut curry,[],udupi style ash gourd coconut curry
Mexican Style Black Bean Burrito Recipe,"6 to 8 Spinach Leaves (Palak),1/4 cup Black beans - soaked overnight and  cooked,4 tablespoons Cheddar cheese,1 Onion - chopped,2 cloves Garlic - chopped,1 cup Rice - or brown rice,2 sprig Coriander (Dhania) Leaves,1 Lemon juice,4 tablespoon Hung Curd (Greek Yogurt),4 Spring Onion Greens - chopped,1 Tomato - chopped,4 Tortillas",40,Mexican,"tomato,spring onion greens,hung curd,black beans,cloves garlic,rice brown rice,coriander leaves,onion,lemon,cheddar cheese,spinach leaves,tortillas",12,mexican style black bean burrito,[],mexican style black bean burrito
Spicy Crunchy Masala Idli Recipe,"Mint Leaves (Pudina) - to taste,1/2 teaspoon Turmeric powder (Haldi),3 tablespoons Tomato Ketchup,2 teaspoons Sunflower Oil,1 cup Tomato - finely chopped,Coriander (Dhania) Leaves - to taste,Salt - to taste,2 Green Chillies - finely chopped,1 cup Green Bell Pepper (Capsicum) - thinly sliced,10 Idli - cut into strips,1/4 teaspoon Red Chilli powder,1 cup Onions - finely chopped",30,South Indian Recipes,"tomato,salt,coriander leaves,idli,red chilli powder,tomato ketchup,onion,green bell pepper,mint leaves,turmeric powder,green chillies,sunflower oil",12,spicy crunchy masala idli,[],spicy crunchy masala idli
Cauliflower Leaves Chutney (Recipe in Hindi)," 3 cloves garlic, 1 big Spoon oil, 2 tablespoons white urad dal, 1 teaspoon Rye,1 cup cabbage leaves, turmeric powder - a pinch, asafoetida - a pinch, 1/2 teaspoon Cumin seeds, 18 grams tamarind, salt - as per taste, 3/4 cup tomatoes, 1 sprig Curry leaves, 4 red chillies",25,South Indian Recipes,"tomato,salt,turmeric powder,red chillies,spoon oil,rye,asafoetida,cloves garlic,curry leaves,cabbage leaves,tamarind,cumin seeds,white urad dal",13,cauliflower leaves chutney,[],cauliflower leaves chutney
Homemade Baked Beans Recipe (Wholesome & Healthy),"250 grams Dry beans - (such as cannellini or soya beans),1 teaspoon Cumin powder (Jeera),1/4 teaspoon Red Chilli powder - or cayenne pepper,1 Onion - finely chopped,1 clove Garlic - grated,1 teaspoon Extra Virgin Olive Oil,1 tablespoon Honey - or more to taste,500 grams Tomatoes - pureed,Salt and Pepper - (coarsely pounded pepper) to taste,1 teaspoon Dried oregano",120,Fusion,"tomato,salt,cumin powder,pepper,cloves garlic,virgin olive oil,onion,dry beans,red chilli powder cayenne pepper,dried oregano",10,homemade baked beans,['&'],"homemade baked beans, &"
